Preprocessing,Balanced,Accuracy,Precision,F1-Score,Avg TPR (Sensitivity),Avg FPR,Avg TNR (Specificity),Avg FNR,AUC
Raw,Yes,0.28125,0.121880517,0.134436267,0.25586225,0.255861244,0.744138756,0.74413775,0.549389549
Raw,No,0.95,0.941565771,0.936429101,0.931731564,0.020827267,0.979172733,0.068268436,0.989376906
Bilateral Filter,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.53587871
Bilateral Filter,No,0.86875,0.830658051,0.841890285,0.867734682,0.052058524,0.947941476,0.132265318,0.971498336
Crop,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.708300766
Crop,No,0.94609375,0.963440758,0.947486707,0.932944238,0.023833706,0.976166294,0.067055762,0.989106745
Gaussian Blur,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.547177493
Gaussian Blur,No,0.921875,0.92709487,0.905029951,0.889091182,0.030634388,0.969365612,0.110908818,0.986431271
Local Contrast,Yes,0.45234375,0.373132669,0.374941619,0.520025115,0.195141481,0.804858519,0.479974885,0.713905808
Local Contrast,No,0.64921875,0.712326697,0.512498841,0.482497062,0.14701146,0.85298854,0.517502938,0.837424434
Median Blur,Yes,0.040625,0.18804878,0.03307088,0.264589905,0.245149537,0.754850463,0.735410095,0.577661951
Median Blur,No,0.9078125,0.934736368,0.870723227,0.826618405,0.040838481,0.959161519,0.173381595,0.978183998
Min Max Scaling,Yes,0.49453125,0.443888771,0.472873871,0.598444951,0.183481439,0.816518561,0.401555049,0.770457392
Min Max Scaling,No,0.92578125,0.934018902,0.903520232,0.880450777,0.029983352,0.970016648,0.119549223,0.978666177
Z Score Standardization,Yes,0.409375,0.435805798,0.404593068,0.607834413,0.194613856,0.805386144,0.392165587,0.745376318
Z Score Standardization,No,0.95703125,0.963915035,0.944513234,0.927946035,0.018358566,0.981641434,0.072053965,0.993456387
